e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
80000.0,0.25,0,0,0,1,0,0,0,33.10136003878586,2.0971610248519115,4.43200781046161,0.429096068719652,2.0,0,-6.765011371508952,-25.301923957376363,7.800546203357941,-6.765011371508952,-25.301923957376363,7.800546203357941,-1.356086973762386,-5.149605885980798,2.1114841679678844,6422.07595601248
80000.0,0.25,0,0,0,1,0,0,0,30.682196326913793,0.2659513639386453,3.1845810781369606,4.168100344592702,2.0,0,-40.80316269683492,14.592382793265946,-12.131128486270995,-40.80316269683492,14.592382793265946,-12.131128486270995,-12.507970019597183,4.712565882059329,-4.809972942278785,4991.890314554178
80000.0,0.5,0,0,0,1,0,0,0,31.805815088083257,0.495443212684872,3.445921718583888,2.0797911931388255,2.0,0,-42.93545714524601,4.777739612295211,-12.598401641710286,-42.93545714524601,4.777739612295211,-12.598401641710286,-12.718933713034241,1.8155453626761786,-4.618062815987159,5205.098026815328
80000.0,0.5,0,0,0,1,0,0,0,32.69398855034026,1.5368562380798652,0.6950485116773161,1.9238719486876688,2.0,0,34.20374288690372,25.315771155742933,14.636109569029502,34.20374288690372,25.315771155742933,14.636109569029502,8.855734540727415,6.4763279509129505,4.028431086513092,5758.819121026196
80000.0,0.5,1,0,0,0,4.0,1.886227563340872e-05,3.0,30.380290297909767,1.654842601119298,1.8903553222214762,4.662026681550627,2.0,0,-0.22477014477988905,-0.38808298543025566,0.8200537521939626,-0.22477014477988905,-0.38808298543025566,0.8200537521939626,-0.8808884634952465,2.9016655349085516,1.3559333024458933,6023.802152456093
80000.0,0.5,0,0,0,1,0,0,0,31.884662315153516,2.4648770691323123,0.9084228319849634,4.75640734575178,2.0,0,31.70903394991507,24.93338059671374,19.946520949342332,31.70903394991507,24.93338059671374,19.946520949342332,9.73795952223055,7.428514544984573,6.752204685254765,5170.715925127078
80000.0,0.5,0,0,0,1,0,0,0,32.85602780551653,1.4645242693591047,1.8120693451757792,0.7975964885476756,2.0,0,-10.516893123942298,38.9343561867453,19.962736970245924,-10.516893123942298,38.9343561867453,19.962736970245924,-2.88596710974194,10.591298582062915,5.776345046079233,5580.99981273394
80000.0,0.5,1,0,0,0,6.0,0.04839456438793454,6.0,31.500634266853112,1.3932185007706657,1.7504983746110598,4.681074627473956,2.0,0,0.3708799765304855,-2.62659927206937,1.2459936219416639,0.3708799765304855,-2.62659927206937,1.2459936219416639,0.22016813397377719,-0.6076943618182609,-2.1854361498629187,6339.566309793576
80000.0,0.75,0,0,0,1,0,0,0,33.93074640619811,1.617142080141347,1.162596288340237,3.2843461012800512,2.0,0,15.504626105081385,28.827326217512514,30.880282260541993,15.504626105081385,28.827326217512514,30.880282260541993,3.057638036484141,5.571115558062741,6.482810348542647,6820.929199275427
80000.0,0.75,0,0,0,1,0,0,0,32.06760114408019,1.3233341648613999,4.31143676453115,3.1864977816742313,2.0,0,-17.54989407540683,-28.171482606530937,-30.386983820246552,-17.54989407540683,-28.171482606530937,-30.386983820246552,-3.862971802359434,-6.019512807863716,-7.08488511779459,6288.884057966425
80000.0,0.75,1,0,0,0,1.0,0.001881481378822033,12.0,30.335991465247055,2.2415368778017752,3.0207099273647624,4.458307436847726,2.0,0,-0.3821162783144435,-1.5291339601760736,1.3760037856695158,-0.3821162783144435,-1.5291339601760736,1.3760037856695158,-5.986370242883987,0.03920607284500613,3.6088096697794123,5932.669850919018
80000.0,0.75,0,0,0,1,0,0,0,33.15472588667842,1.6847217185887946,4.924751659662327,3.673710021778125,2.0,0,8.963443708378946,-32.04145234463893,-30.298547960800946,8.963443708378946,-32.04145234463893,-30.298547960800946,2.502413733251639,-8.66640504221306,-8.996308489929367,5536.444456873328
