e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
20000,0,1,0,0,0,2,1.508764624,5,31.03101509,0.681114638,2.472806018,2.702378949,0,0,-0.143968758,0.113775791,1.567215705,-0.143968758,0.113775791,1.567215705,3.426941341,-2.708247035,-8.64331804,38464.55662
20000,0,1,0,0,0,0,3.98927793,8,30.24693405,2.306390242,5.767879963,0.263829018,0,0,0.430695529,-0.243922175,1.33174142,0.430695529,-0.243922175,1.33174142,6.143941697,-3.479589459,1.491458517,26509.2806
20000,0,1,0,0,0,0,3.985232454,3,30.42588232,0.906131951,5.876558285,5.18941169,0,0,-0.343742525,0.148024782,1.281352995,-0.343742525,0.148024782,1.281352995,1.088715074,-0.468830011,4.608607505,25395.63656
20000,0,1,0,0,0,3,1.830410254,5,30.86309194,1.280649828,2.551981924,3.667979551,0,0,1.24882832,-0.835456168,-0.412980723,1.24882832,-0.835456168,-0.412980723,7.477136775,-5.002144762,-6.0149811,40744.22718
20000,0,1,0,0,0,2,0.030775796,2,31.28473974,1.465276106,0.817868119,4.772943005,0,0,0.757386127,0.808239804,0.261567277,0.757386127,0.808239804,0.261567277,-5.558524246,-5.93174391,0.343284952,15812.72253
20000,0,1,0,0,0,1,0.498710363,3,31.71124407,1.226930442,5.657031405,1.845133515,0,0,0.796464514,-0.57603536,0.49384348,0.796464514,-0.57603536,0.49384348,1.587751529,-1.148326143,4.316548626,13000.05295
20000,0,1,0,0,0,2,2.544052509,1,30.90992537,0.772393203,2.082031988,4.106255238,0,0,-0.760616153,1.355865242,-1.244264618,-0.760616153,1.355865242,-1.244264618,-1.452065124,2.588433894,-2.979048173,62965.60051
20000,0,1,0,0,0,2,0.69181507,6,31.47627189,2.138079113,4.137017928,2.065197608,0,0,0.286493798,0.441729795,-1.927196662,0.286493798,0.441729795,-1.927196662,2.385731122,3.678433965,-3.488633419,19549.88286
20000,0,1,0,0,0,2,0.000343967,7,30.2649854,2.534884751,2.857222351,1.98276818,0,0,1.167704448,-0.341310646,-0.774503628,1.167704448,-0.341310646,-0.774503628,9.380334035,-2.741796419,-0.362828133,17174.15218
20000,0,1,0,0,0,1,0.01387947,1,31.03244922,2.131141311,5.844743158,3.079209458,0,0,0.535314719,-0.250997721,1.86498292,0.535314719,-0.250997721,1.86498292,-1.263558298,0.592455695,-1.744681567,41625.83601
