e,b,h2,cah1,cah2,diss,v,w,j,d_i,theta,phi,eta,n_i,j_i,rho1x,rho1y,rho1z,rho2x,rho2y,rho2z,p1x,p1y,p1z,tf
40000.0,0.25,1,0,0,0,7.0,0.012070757107965046,1.0,32.472051180489586,1.33090415248485,4.774283416996355,3.7032583304347684,1.0,0,0.15220006756351534,-3.046152676014664,-0.34302762220226607,0.15220006756351534,-3.046152676014664,-0.34302762220226607,-0.19047450943296904,3.542899577237284,-0.1258635576391536,15733.153087595321
40000.0,0.25,0,1,0,0,3.0,0.026078573478824443,2.0,30.037848204436184,0.6912448371754465,4.938087484229818,5.016920744483354,1.0,0,6.8927327051064635,-18.755295405110626,-55.79466411098578,6.8927327051064635,-18.755295405110626,-55.79466411098578,1.0415875160202213,2.2331874978127564,-7.744778716966042,11958.472023114931
40000.0,0.25,1,0,0,0,-0.0,0.8472837741507647,6.0,30.614409668471826,1.9071382952615945,4.254361687248813,4.964832499309486,1.0,0,0.0018405924343549806,0.3578833344820665,-1.6074623489486177,0.0018405924343549806,0.3578833344820665,-1.6074623489486177,1.8690277334982683,3.352337954095809,1.2837583950808846,9528.696824926392
40000.0,0.25,1,0,0,0,11.0,3.875212634376896,4.0,31.77819673773927,1.9368453706784172,4.961252934546623,0.9815585950198877,1.0,0,-0.7396188077127487,2.8564423467082496,-1.1365574309935758,-0.7396188077127487,2.8564423467082496,-1.1365574309935758,-1.651571311614252,6.623871938812074,-4.034141937984486,38732.67331660043
40000.0,0.25,1,0,0,0,1.0,0.0002900298987880111,11.0,31.017724250730332,1.1955867240648534,0.20261008026550525,3.3890626554286762,1.0,0,0.08363971948714764,0.21491419783029284,-1.1795841825143962,0.08363971948714764,0.21491419783029284,-1.1795841825143962,9.601112117695818,2.374709087579557,-2.864517013749579,11089.15235509093
40000.0,0.5,1,0,0,0,9.0,0.6097121527390171,8.0,31.339136792560062,1.0764280440368854,2.6163181770945236,1.5258997299644028,1.0,0,2.171609824893297,-1.1419049917589086,-1.8785041436307108,2.171609824893297,-1.1419049917589086,-1.8785041436307108,3.6699881766186886,-1.0942934330796867,-6.226583023884939,23381.44173014117
40000.0,0.5,0,1,0,0,9.0,1.2407114396995922,13.0,31.98727846453037,1.353196454862522,3.6421227489007357,0.5637770635195807,1.0,0,5.428880580308658,30.95230659106494,-48.72182498774051,5.428880580308658,30.95230659106494,-48.72182498774051,-2.654439733857193,-0.2912091938485121,1.2991218476132043,19265.214140681208
40000.0,0.5,1,0,0,0,-0.0,1.4867195147343004e-05,12.0,30.417137885429693,2.4794757473528426,4.7405012563382884,3.8194056024841307,1.0,0,-0.06914948704531289,1.9329409245863443,2.7863835641584185,-0.06914948704531289,1.9329409245863443,2.7863835641584185,0.061369555236586486,-3.244971260807223,1.6472908299374902,18532.252292136785
40000.0,0.5,0,1,0,0,4.0,1.5962172812312566e-05,14.0,31.350980915180326,0.6543119455277453,6.264227251611575,6.071151176391337,1.0,0,38.79026149727705,29.538435067141357,-30.43564178371819,38.79026149727705,29.538435067141357,-30.43564178371819,0.33272939732565726,3.8856335318548796,0.9088661004162729,13497.479438617947
40000.0,0.5,1,0,0,0,3.0,0.0012258681584003492,13.0,31.165946300311465,2.0829638326471542,5.347012103213029,4.288854080739996,1.0,0,0.5936668227914268,-0.7200766393100578,-0.557187045351589,0.5936668227914268,-0.7200766393100578,-0.557187045351589,-1.422017903755267,5.34737775956563,-10.686653270241221,13551.823122430844
