vi,ji,e,b,pR,pR_err,pQ,pQ_err,pDiss,pDiss_err
0.0,0,20000.0,4.25,0.0,0.0,0.992988782051282,0.0,0.007011217948717949,0.0008350579572859568
0.0,0,20000.0,4.5,0.0,0.0,0.9920897166316212,0.0,0.007910283368378892,0.0008864494395805644
0.0,0,20000.0,4.75,0.0,0.0,0.9905905905905906,0.0,0.00940940940940941,0.0009659297400226442
0.0,0,30000.0,0.0,0.050581212692428525,0.002297830965505572,0.9438684679023981,0.002297830965505572,0.0055503194051733165,0.0007602762917259685
0.0,0,30000.0,0.25,0.04967306475427125,0.002285035593728292,0.9435773043661675,0.002285035593728292,0.006749630879561274,0.0008408516942169229
0.0,0,30000.0,0.5,0.0516506922257721,0.002341333524648429,0.9401490947816826,0.002341333524648429,0.008200212992545261,0.0009306615588416988
0.0,0,30000.0,0.75,0.04154589371980676,0.0021096254081281757,0.9517981749865808,0.0021096254081281757,0.006655931293612453,0.0008424862798570754
0.0,0,30000.0,1.0,0.03456444492301066,0.0019273173658233664,0.9582211693765479,0.0019273173658233664,0.007214385700441478,0.0008781924388565257
0.0,0,30000.0,1.25,0.027041585865115278,0.0017057669723012728,0.9654169360051713,0.0017057669723012728,0.007541478129713424,0.0008979737441707564
0.0,0,30000.0,1.5,0.02127432114603378,0.001507605189881377,0.9720974983964079,0.001507605189881377,0.006628180457558264,0.0008389853877139653
0.0,0,30000.0,1.75,0.010122311261071278,0.001033001938864932,0.9830240404892451,0.001033001938864932,0.006853648249683678,0.0008471723226469912
0.0,0,30000.0,2.0,0.006350858927641853,0.0008130907282775136,0.9867777199375325,0.0008130907282775136,0.0068714211348256116,0.0008429024930849826
0.0,0,30000.0,2.25,0.003998769609350969,0.0006402777170745873,0.9886188864964626,0.0006402777170745873,0.007382343894186404,0.0008668002381204905
0.0,0,30000.0,2.5,0.0025301082886347538,0.0005059960512872549,0.9899807711770063,0.0005059960512872549,0.007489120534358871,0.0008673264654385382
0.0,0,30000.0,2.75,0.001006238679814852,0.0003181813980719269,0.9913463473535923,0.0003181813980719269,0.007647413966592876,0.0008738578795791681
0.0,0,30000.0,3.0,0.0005009016229212583,0.0002239987947992973,0.9908835904628331,0.0002239987947992973,0.008615507914245642,0.0009250234033237078
0.0,0,30000.0,3.25,0.00010013016921998598,0.00010012515606909693,0.9936917993391409,0.00010012515606909693,0.006208070491639131,0.0007859746294853608
0.0,0,30000.0,3.5,0.0,0.0,0.9924947463224257,0.0,0.007505253677574302,0.0008633737744876708
0.0,0,30000.0,3.75,0.0,0.0,0.9926970788315326,0.0,0.007302921168467387,0.00085161549461463
0.0,0,30000.0,4.0,0.0,0.0,0.9927985597119424,0.0,0.0072014402880576115,0.0008456364317946992
0.0,0,30000.0,4.25,0.0,0.0,0.9880988098809881,0.0,0.011901190119011902,0.0010844688960753824
0.0,0,30000.0,4.5,0.0,0.0,0.980998099809981,0.0,0.019001900190019003,0.0013653824463648418
0.0,0,30000.0,4.75,0.0,0.0,0.9686968696869687,0.0,0.0313031303130313,0.001741444141318751
0.0,0,40000.0,0.0,0.18454370505418818,0.00432106294976345,0.8138357135622405,0.00432106294976345,0.0016205813835713562,0.00040481692727901763
0.0,0,40000.0,0.25,0.17955492328015446,0.004269366004749318,0.8183111472411341,0.004269366004749318,0.0021339294787115133,0.0004651644789201775
0.0,0,40000.0,0.5,0.18131313131313131,0.0042773658116861644,0.8166666666666667,0.0042773658116861644,0.00202020202020202,0.0004512743800179275
0.0,0,40000.0,0.75,0.16533924790805524,0.004080851046312988,0.832543603185805,0.004080851046312988,0.002117148906139732,0.00046151044733373217
0.0,0,40000.0,1.0,0.14121444422029453,0.0037725180047472997,0.8573734113375026,0.0037725180047472997,0.0014121444422029454,0.00037714490347932016
0.0,0,40000.0,1.25,0.11707267968592712,0.0034317315852314964,0.8817193476947855,0.0034317315852314964,0.0012079726192872962,0.0003485009777485278
0.0,0,40000.0,1.5,0.08214213811153614,0.0028747346999937846,0.9150392591101268,0.0028747346999937846,0.0028186027783370245,0.0005319146404174776
0.0,0,40000.0,1.75,0.06396459820979583,0.0025357920983330538,0.9335210700995675,0.0025357920983330538,0.002514331690636629,0.0005022337538603453
0.0,0,40000.0,2.0,0.04511655948553055,0.0021287858436379054,0.9500602893890675,0.0021287858436379054,0.00482315112540193,0.0006944810238923521
0.0,0,40000.0,2.25,0.027189726096117188,0.001651423102432021,0.9670914016253637,0.001651423102432021,0.005718872278519113,0.0007553140576029494
0.0,0,40000.0,2.5,0.01984365604329525,0.0014100473371751333,0.9736420124273402,0.0014100473371751333,0.0065143315293646024,0.0008053672811927285
0.0,0,40000.0,2.75,0.012123033764151888,0.0011019812722136318,0.9787596433223124,0.0011019812722136318,0.009117322913535718,0.0009513881955806024
0.0,0,40000.0,3.0,0.005606166783461808,0.0007490992978067628,0.9851837020722795,0.0007490992978067628,0.009210131144258685,0.0009557904329628653
0.0,0,40000.0,3.25,0.0024009603841536617,0.0004900694710328479,0.9900960384153662,0.0004900694710328479,0.007503001200480192,0.0008631156381322807
0.0,0,40000.0,3.5,0.0001,9.999499987499376e-05,0.9917,9.999499987499376e-05,0.0082,0.0009018181634897359
0.0,0,40000.0,3.75,0.0,0.0,0.9917,0.0,0.0083,0.000907254650029417
0.0,0,40000.0,4.0,0.0,0.0,0.9869,0.0,0.0131,0.0011370307823449638
0.0,0,40000.0,4.25,0.0,0.0,0.9783,0.0,0.0217,0.0014570212764403955
0.0,0,40000.0,4.5,0.0,0.0,0.9704970497049705,0.0,0.029502950295029504,0.0016921994491753715
